Από,Έως,Χώρες_ΕΕ_27,Χώρες_ζώνης_ευρώ,Αυστρία,Βέλγιο,Γαλλία,Γερμανία,Ισπανία,Ιταλία,Κύπρος,Ολλανδία,Χώρες_EE_εκτός_ζώνης_ευρώ,Δανία,Ρουμανία,Σουηδία,Τσεχία,Λοιπές_Χώρες,Αλβανία,Αυστραλία,Ελβετία,Ηνωμένο_Βασίλειο,ΗΠΑ,Καναδάς,Ρωσία,Κρουαζιέρες,ΣΥΝΟΛΟ,Μεμονωμένοι_ταξιδιώτες,Οργανωμένα_ταξίδια
2005-01-01,2005-03-31,695.8,776.7,674,551.3,593.1,745.0,563.8,515.3,581.1,1218.2,523.9,685.9,846.3,670,580.9,515.1,225.9,900.8,669.2,565.1,1002.6,785.6,1123,:,600.9,577.8,1025.8
2005-04-01,2005-06-30,708.2,766.7,763.8,738.1,745.2,830.7,755.3,732.8,641.7,821.4,497.2,648.6,523.3,569.9,579.4,756.1,262.7,1050.8,969.6,783.2,1260.5,1196.8,1158.9,:,727.0,654.7,906.7
2005-07-01,2005-09-30,769.8,828.1,722.3,820.1,939.6,840.0,1047.2,822.8,815.1,709.7,526.1,663.3,545.7,620.1,540.3,896.1,454,1163.9,933.8,949.3,1310.5,1091.7,1284.6,:,812.3,755.8,957.5
2005-10-01,2005-12-31,621.3,673.5,529.6,663.2,516.7,667.4,876.2,643.5,509.4,1100.7,411.2,565.8,553.8,463.9,519.2,613.2,372.5,1070.7,802.8,628.9,1009,1220,1150.1,:,617.8,599.7,683.4
2006-01-01,2006-03-31,602.9,690.9,580.1,448.4,465,709.0,483.8,468.3,605.3,1148.7,403.8,1102.1,578.0,728.3,1236,465.8,299.3,699.2,453.2,475.8,953.4,810.3,709.3,:,540.1,522.2,903.6
2006-04-01,2006-06-30,717.3,770.2,709.2,739.3,684.2,866.7,832.8,609.3,714.7,818.4,522.1,718.9,507.2,595.6,565.7,778.1,352.5,1038.6,938.9,839.5,1231.5,997.7,1147.9,:,741.0,696.1,864.8
2006-07-01,2006-09-30,763.3,809.7,697.3,856.7,837.6,907.5,850.2,709.6,713.5,832,562.7,693.5,570.4,680.9,551.5,896.5,380.8,1515.3,883.7,919,1367.6,1366.1,1207.5,:,807.9,746.6,968.1
2006-10-01,2006-12-31,622.1,668.7,645.9,644.1,589.4,675.6,796.1,571.1,519.4,936.4,432.6,553.5,731.6,473,347.7,600.3,309,792.3,652.9,624.6,1088.8,822,1025.1,:,612.2,573.7,752.1
2007-01-01,2007-03-31,514.7,607.2,637.4,392.1,498.7,619.3,488.4,437.2,608.2,817.3,289.7,652.3,437.3,482.1,365.1,444.1,276.8,555.5,651.7,526.6,903.1,1349.5,1026.8,:,479.1,463.3,775.3
2007-04-01,2007-06-30,659.1,741.6,661.7,706.5,687,838.9,644.7,610.0,640.6,1019.9,424.3,625.4,587.4,521.9,604.8,712.5,341.6,1191.2,818.2,768.7,1348.5,1135.4,1164.8,:,680.7,597.7,903
2007-07-01,2007-09-30,742.3,801.3,643.7,847.3,850.3,840.3,638.4,802.3,723.3,876.1,526.4,755,500.5,588.6,542.7,849.2,343.1,1116.9,920.4,972.3,1336.6,1551.5,1241.3,:,782.1,699.6,954.1
2007-10-01,2007-12-31,559.3,637.6,576.5,641.6,601.3,625.4,520.2,610.8,510.6,824.5,337.3,515.3,495.2,604,429.7,548.4,310.1,793.6,704.5,654.7,981.8,840.5,1081.5,:,554.2,521.2,672.4
2008-01-01,2008-03-31,522.6,638.5,434.4,623.8,516.5,713.4,362,477.0,428.4,846.8,278.9,830.6,426.2,614.2,737.1,428.4,364.7,1353.1,545,426.2,1024.7,1133.9,1059.8,:,472.0,447,1006.9
2008-04-01,2008-06-30,710.8,791.5,823.3,816.3,762.8,826.7,689.2,712.3,764.9,903.7,477.2,661,478.5,664.4,695.1,725.2,328.3,1301.2,869.9,793.3,1173.1,1185.2,1150.5,:,717.1,645.9,882.2
2008-07-01,2008-09-30,797.5,863.8,845.6,942.6,1001.8,885.1,667.4,802.6,844.6,807.1,563.0,653.4,567.7,623.1,683.3,869.8,453.7,1219.7,899.8,921.7,1227.7,1353.2,1434.8,:,824.1,746.1,968.9
2008-10-01,2008-12-31,551.2,621.3,497.9,519.8,583.6,645.0,652,545.5,518.1,784.7,351.9,531,527.6,409.3,590.3,571.9,353.9,841.1,650.2,640.7,1199.8,869.9,1017.3,:,561.9,508.1,743.8
2009-01-01,2009-03-31,545.7,680.5,591.9,671.3,467,659.3,452.8,513.2,575.7,1169.3,282.8,761.5,496.5,702.4,480.5,403.7,314.3,1291.9,626.6,476.1,861,876.7,877,:,469.7,453.8,684.7
2009-04-01,2009-06-30,701.8,796.4,792.5,902.1,794.1,822.9,734.6,765.0,783.6,814.9,465.8,758.6,565.9,606.2,586.7,669.1,367.6,1220.6,918.7,693,1157,1060.4,1294.3,:,687.9,598,904.2
2009-07-01,2009-09-30,766.5,829.4,864.8,1033.6,837.7,866.2,740.3,713.1,806.7,827.8,548.5,708.7,588.0,679.5,592.4,793.1,503.9,1406.2,920.9,873.5,1170.4,1258.3,1056.8,:,777.2,706.7,918.5
2009-10-01,2009-12-31,570.5,645.4,613,585,534.3,656.7,460.2,579.1,628.0,850.2,318.3,449.1,497.5,476.7,473.5,501.1,363.1,1344.2,599.3,531.9,906.5,811.1,983.7,:,539.1,491.1,723.7
2010-01-01,2010-03-31,527.3,622.2,451.2,480.9,525.9,609.1,387.9,542.1,390.0,795.9,289.9,727.6,431.3,463.2,219.5,435.9,344,778.2,909.8,479.6,862.4,914.7,1065.2,:,486.1,468.8,815.6
2010-04-01,2010-06-30,645.3,741.1,844.8,743.2,627.7,830.4,597.7,558.5,626.2,937.4,384.3,618.8,495.2,530,558.5,647.5,350.9,1400.5,913.7,642.8,1133.4,1058.4,1121.9,:,646.3,600.2,773.7
