Από,Έως,Χώρες_ΕΕ_27,Χώρες_ζώνης_ευρώ,Αυστρία,Γαλλία,Γερμανία,Ισπανία,Ιταλία,Κύπρος,Ολλανδία,Χώρες_EE_εκτός_ζώνης_ευρώ,Βουλγαρία,Πολωνία,Τσεχία,Λοιπές_Χώρες,Αίγυπτος,Ηνωμένο_Βασίλειο,ΗΠΑ,Ρωσία,Τουρκία,ΣΥΝΟΛΟ,Μεμονωμένοι_ταξιδιώτες,Οργανωμένα_ταξίδια
2005-01-01,2005-03-31,567.5,357.1,27.4,40.3,79.9,20.5,92.5,44,20.4,210.4,131.5,5.3,45.5,426.0,18.1,68.7,17.2,4.7,43.1,922.7,760.1,162.5
2005-04-01,2005-06-30,570.1,382.3,19.1,40,89.2,27.2,107.5,46.1,21.5,187.8,120.8,7.4,20.2,445.2,18.2,65.5,21.5,8,25,922.4,837.6,84.8
2005-07-01,2005-09-30,656.7,519.9,26.6,63.7,111,27.5,149.6,56,32.2,136.8,56.0,14.3,15,406.1,21.7,52.8,19.3,11.6,123.1,899.1,766.9,132.2
2005-10-01,2005-12-31,595.4,347.0,20.4,38.9,86.8,18.6,91.3,34.3,21.7,248.5,181.4,8.4,14.4,365.6,8.3,58.6,9.5,11.5,67.8,892.2,810.6,81.6
2006-01-01,2006-03-31,562.0,333.6,26.0,33.9,83.8,23.1,86.7,39,15.3,228.4,163.4,6.4,23.4,375.3,8.4,49,14.1,8.6,34.6,877.6,759.5,118.1
2006-04-01,2006-06-30,520.2,352.7,22.5,35.3,89.7,15.1,93.0,25.6,32.8,167.5,101.6,7.5,15.5,331.6,10.6,45,16.2,7,12.1,773.9,707.7,66.2
2006-07-01,2006-09-30,612.4,465.4,35.2,61.7,98.1,23.1,129.5,32.1,33.4,147.0,60.7,7.6,20.1,352.2,8.3,68.2,16.4,15.5,76.8,792.2,689.4,102.9
2006-10-01,2006-12-31,605.5,402.2,38.8,42.4,96,27.4,102.8,38.7,28.8,203.3,130.5,5.7,19.1,344.9,10.3,55.4,13.8,11.6,64.8,874.3,797.5,76.8
2007-01-01,2007-03-31,565.6,365.1,20.4,41.9,90.2,18.6,103.6,37.1,23.6,200.5,141.4,5.3,15.7,538.4,12,58.1,21.3,8.2,28.7,836.3,749.4,86.9
2007-04-01,2007-06-30,520.5,370.7,23.4,40,95.7,23.8,102.0,32.5,26.1,149.8,67.3,8.5,21.4,427.0,11.4,43.3,19.9,8.5,18.6,854.6,786.4,68.2
2007-07-01,2007-09-30,562.9,422.8,23.6,53,92.9,30,111.6,42.1,27.3,140.1,58.6,9.8,21.2,332.2,11.5,53.3,13.8,19.2,76,804.3,676.7,127.5
2007-10-01,2007-12-31,661.5,444.2,38.3,51.2,117.6,28.8,113.2,31.8,32.7,217.4,120.0,11.8,28.8,498.6,12,55.6,22.6,8.6,69.2,1023.9,933.2,90.7
2008-01-01,2008-03-31,593.8,387.7,31.4,49.1,105.5,19.6,81.5,41.7,26.9,206.1,135.8,6.7,14.9,518.4,17.2,64.8,18,15.6,32.1,1028.2,942.5,85.7
2008-04-01,2008-06-30,566.0,401.8,32.9,40.4,79.5,37.2,126.0,22.3,27.7,164.2,87.0,4.3,19.2,467.5,14.8,39.5,26.1,10.7,28.1,950.2,843.0,107.2
2008-07-01,2008-09-30,532.5,401.9,21.7,54.4,77.7,21.8,114.3,35.2,24.8,130.6,57.7,7.7,15.1,402.3,11,63.3,25.6,20.8,67.2,815.4,687.9,127.5
2008-10-01,2008-12-31,562.8,378.9,26.6,37.7,91,22.4,105.7,41.3,26.7,183.9,116.9,5.6,15.2,484.9,12.1,70.9,17.5,13.8,79,971.0,863.9,107.2
2009-01-01,2009-03-31,478.2,352.6,18.6,39.2,100.7,21.1,90.0,37,21.7,125.6,71.7,3.3,11.8,567.5,10.9,76.2,15.8,10.8,30,968.3,896.7,71.6
2009-04-01,2009-06-30,555.8,367.9,21.9,43.9,85.5,24.9,94.0,44.6,18.9,187.9,112.2,9.1,13.5,540.6,7.4,54,24.9,9.1,20.3,1022.8,945.5,77.3
2009-07-01,2009-09-30,525.8,395.8,28.6,43.6,91.2,34.2,102.3,32.9,25.2,129.9,55.1,15.2,12.6,455.4,18.6,52.7,22.7,13.8,80.8,848.0,729.5,118.5
2009-10-01,2009-12-31,566.1,364.6,28.1,35.1,99.8,25.5,85.5,38.8,21.9,201.5,126.9,5.8,20.3,526.0,17.1,72.1,17.5,7.6,92,995.9,904.5,91.4
2010-01-01,2010-03-31,496.8,355.6,29.4,32.4,103.3,24.6,84.8,30.4,20.6,141.2,63.9,7.1,21.6,464.9,17.6,62.7,23,8.4,115.5,877.4,751.8,125.6
2010-04-01,2010-06-30,540.2,368.7,36.6,41.1,99.3,15.9,76.6,40.8,19.3,171.5,93.8,15.1,9.1,543.8,14.1,48.8,26.6,6.6,177.1,960.0,817.8,142.2
2010-07-01,2010-09-30,597.1,416.4,29.6,45.5,74.2,30.4,119.6,41.8,23.8,180.7,89.9,13.3,17,524.3,18.8,64.4,27.8,8.4,130.4,972.7,830.1,142.5
2010-10-01,2010-12-31,500.0,322.0,27.7,40.3,77.5,21.5,71.0,36.9,19.5,177.9,109.7,4.1,16.4,582.7,8.7,55.4,16.2,6.2,132.7,989.3,896.6,92.7
2011-01-01,2011-03-31,640.1,378.8,46.5,35.5,109.2,22,67.1,33,34.6,261.2,173.0,11,29.7,632.1,7.3,69.8,25.5,8.6,105.6,1112.6,996.3,116.3
2011-04-01,2011-06-30,609.0,425.4,34.9,40.6,115.6,31.2,82.8,52.4,27.9,183.5,103.2,10,15.8,781.2,6.4,46.5,28.9,8.4,164.3,1258.1,1127.3,130.7
2011-07-01,2011-09-30,734.7,543.8,38.1,60.9,131.7,51.6,103.7,58.8,35.2,190.9,89.7,12.2,30,862.4,12.5,70,23.6,20.9,102,1386.6,1235.1,151.5
