Από,Έως,Περιφέρεια,Χώρα_προέλευσης,Εισπράξεις,Επισκέψεις,Διανυκτερεύσεις,Δαπάνη_ανά_επίσκεψη,Δαπάνη_ανά_διανυκτέρευση,Μέση_διάρκεια_παραμονής
2016-01-01,2016-03-31,ΑΤΤΙΚΗ_(EL3),Σύνολο_χωρών,235.4,636.4,3757.7,369.9,62.6,5.9
2016-01-01,2016-03-31,ΑΤΤΙΚΗ_(EL3),ΗΠΑ,33,51.1,504.1,646.8,65.6,9.9
2016-01-01,2016-03-31,ΑΤΤΙΚΗ_(EL3),Ηνωμένο_Βασίλειο,29.9,79.8,475.5,374,62.8,6
2016-01-01,2016-03-31,ΑΤΤΙΚΗ_(EL3),Κύπρος,18,44.5,447.8,404.8,40.2,10.1
2016-01-01,2016-03-31,ΑΤΤΙΚΗ_(EL3),Γερμανία,15.6,52.4,259.9,297.1,60,5
2016-01-01,2016-03-31,ΑΤΤΙΚΗ_(EL3),Γαλλία,10.2,31.9,262.9,318.8,38.7,8.2
2016-01-01,2016-03-31,ΑΤΤΙΚΗ_(EL3),Ιταλία,9.4,39.6,175.5,236.5,53.4,4.4
2016-01-01,2016-03-31,ΑΤΤΙΚΗ_(EL3),Αυστραλία,(:),(:),(:),(:),(:),(:)
2016-01-01,2016-03-31,ΑΤΤΙΚΗ_(EL3),Τουρκία,8.6,23.7,93,362.5,92.2,3.9
2016-01-01,2016-03-31,ΒΟΡΕΙΟ_ΑΙΓΑΙΟ_(EL41),Σύνολο_χωρών,11,19.9,309.6,551.6,35.5,15.5
2016-01-01,2016-03-31,ΒΟΡΕΙΟ_ΑΙΓΑΙΟ_(EL41),Τουρκία,(:),(:),(:),(:),(:),(:)
2016-01-01,2016-03-31,ΒΟΡΕΙΟ_ΑΙΓΑΙΟ_(EL41),Ηνωμένο_Βασίλειο,1.7,3.5,46,503.7,37.9,13.3
2016-01-01,2016-03-31,ΒΟΡΕΙΟ_ΑΙΓΑΙΟ_(EL41),ΗΠΑ,2.9,3.3,47.9,865.8,59.8,14.5
2016-01-01,2016-03-31,ΒΟΡΕΙΟ_ΑΙΓΑΙΟ_(EL41),Γερμανία,(:),(:),(:),(:),(:),(:)
2016-01-01,2016-03-31,ΝΟΤΙΟ_ΑΙΓΑΙΟ_(EL42),Σύνολο_χωρών,32.8,52.9,458.3,621,71.6,8.7
2016-01-01,2016-03-31,ΝΟΤΙΟ_ΑΙΓΑΙΟ_(EL42),Γερμανία,0.7,3.8,18,184.4,39.1,4.7
2016-01-01,2016-03-31,ΝΟΤΙΟ_ΑΙΓΑΙΟ_(EL42),Ηνωμένο_Βασίλειο,4.2,8.8,57.1,476.7,73.3,6.5
2016-01-01,2016-03-31,ΝΟΤΙΟ_ΑΙΓΑΙΟ_(EL42),Γαλλία,(:),(:),(:),(:),(:),(:)
2016-01-01,2016-03-31,ΝΟΤΙΟ_ΑΙΓΑΙΟ_(EL42),ΗΠΑ,(:),(:),(:),(:),(:),(:)
2016-01-01,2016-03-31,ΝΟΤΙΟ_ΑΙΓΑΙΟ_(EL42),Ιταλία,(:),(:),(:),(:),(:),(:)
2016-01-01,2016-03-31,ΝΟΤΙΟ_ΑΙΓΑΙΟ_(EL42),Ολλανδία,(:),(:),(:),(:),(:),(:)
2016-01-01,2016-03-31,ΝΟΤΙΟ_ΑΙΓΑΙΟ_(EL42),Ρωσία,(:),(:),(:),(:),(:),(:)
2016-01-01,2016-03-31,ΝΟΤΙΟ_ΑΙΓΑΙΟ_(EL42),Πολωνία,(:),(:),(:),(:),(:),(:)
2016-01-01,2016-03-31,ΚΡΗΤΗ_(EL43),Σύνολο_χωρών,20.3,42.4,387.8,479.9,52.4,9.2
2016-01-01,2016-03-31,ΚΡΗΤΗ_(EL43),Γερμανία,(:),(:),(:),(:),(:),(:)
2016-01-01,2016-03-31,ΚΡΗΤΗ_(EL43),Ηνωμένο_Βασίλειο,2.4,6.6,45.2,359.6,52.4,6.9
2016-01-01,2016-03-31,ΚΡΗΤΗ_(EL43),Γαλλία,(:),(:),(:),(:),(:),(:)
2016-01-01,2016-03-31,ΚΡΗΤΗ_(EL43),Ολλανδία,(:),(:),(:),(:),(:),(:)
