Ετος,Χώρες_ΕΕ_27,Χώρες_ζώνης_ευρώ,Αυστρία,Βέλγιο,Γαλλία,Γερμανία,Ισπανία,Ιταλία,Κύπρος,Ολλανδία,Χώρες_EE_εκτός_ζώνης_ευρώ,Δανία,Ρουμανία,Σουηδία,Τσεχία,Λοιπές_Χώρες,Αλβανία,Αυστραλία,Ελβετία,Ηνωμένο_Βασίλειο,ΗΠΑ,Καναδάς,Ρωσία,Κρουαζιέρες,ΣΥΝΟΛΟ,Μεμονωμένοι_ταξιδιώτες,Οργανωμένα_ταξίδια
2005,729.7021293765995,788.7822548392116,714.6487434672002,770.9235335243396,819.6991388639909,803.3896634897906,899.6834222936208,779.4774393760977,706.2585651376818,894.022518464338,502.7990027642599,648.2503950063758,574.3993481147181,588.3013229679469,546.8149751800806,771.949682216889,321.27362245631986,1099.751314558267,892.0740176476972,845.0483847979336,1211.308993154044,1120.4100233119036,1211.8618105906694,:,745.7161717859838,690.0090887229635,908.0508279772046
2006,725.5226184313525,776.7003947583117,694.2924047152145,782.2437107737019,749.4211224656372,852.568125390385,791.4593108569206,669.1709548189843,688.4903741739856,898.0855862821226,522.9892715912151,685.2778540186696,572.2272250131214,622.9920147778861,556.8670258264389,779.9291365091826,341.5127444479345,1235.3176308268453,831.9481676956782,842.1744781317643,1237.5912982031093,1134.713661959753,1142.5716400062731,:,745.8580887429799,689.9482902361888,913.0200438074484
2007,682.835014601181,754.404281613452,643.6336523735532,774.4699818923146,766.2740143466696,794.4668541553235,611.4417732771615,725.1113656285181,672.7354150864347,891.8742370155582,452.4934900243765,691.8358029949785,520.5581020249564,567.1796840648682,539.1366149563954,725.8096260131067,321.34796791721544,1036.043356360845,836.4633866389038,861.5166254023915,1228.6444781518944,1274.7777020745514,1191.2853986402192,:,700.2167942189627,622.3850801418679,904.9359933855206
2008,727.9736930245073,804.1817241145435,784.9002379566542,864.4060284711201,863.2260836676497,821.0270101164728,645.1414635506721,755.5236447848118,780.1458078597936,830.0243124423614,487.9710502875272,644.6565005610942,524.6199080536311,605.9367156007218,682.2688747680369,732.8876425348988,367.53734301348186,1186.906265719781,831.7852329242812,825.2004780770972,1184.8705242116428,1178.9810852771886,1295.6874061707304,:,730.0368841869334,650.1041634185348,920.5672838661209
2009,709.704051763353,787.3702567441544,811.7691162135047,938.475566884774,783.1068527517089,808.9632117837888,665.9405512553128,702.1048348054231,761.3940073276705,874.5642986118299,473.1366773930203,704.1934752063142,557.5769612579143,631.5769142940912,584.2801718020542,680.5063123110139,384.3723700778999,1354.2780250880182,861.5861117178657,778.6650113531182,1076.7302149139928,1071.318184515861,1102.3156250685824,:,697.3203063692887,620.3947314018537,889.8668172563326
2010,649.7431255666297,740.8347312225183,816.5526514110419,727.971468590732,738.4218723368972,796.4581714791316,644.5281709185973,641.8823948478623,653.0366254037617,840.7294089400172,402.2901530363342,572.1099379372555,417.2739075990246,537.6749528587185,543.4454627444599,628.5595916215478,323.0840658614365,1357.0589612167864,965.6834220662563,690.4075370019565,1202.0032370188121,1185.1018101942518,1099.0668980296473,:,640.4312335178167,583.9485848690081,795.3797021596798
2011,657.5060373906042,751.3638908072993,822.9451683710954,731.1619775404545,730.5084707553225,820.4872742065658,871.7022731229804,668.2097128017664,686.8838761141245,750.6885173299679,392.6969207111748,588.1411335364007,319.0485225600609,563.9830597850206,534.9376839783541,617.7819359640969,297.3922190927286,1420.3774806541348,966.5948206987634,685.6256115774784,1098.557307501512,1207.073307097422,1005.4613730339361,:,639.4697738850367,582.2346201637623,792.1588748590732
2012,653.2367833674934,735.1843252686656,822.5939378301899,794.8719237286581,781.5735556976596,784.4750806980505,713.8713476580059,640.40988452645,658.4225529904991,652.8917441688028,408.836918965208,636.8572229207482,415.6196071112346,595.8326317567145,514.2706098894255,638.5991769255841,313.98047803245845,1327.2904041475397,990.9965856751886,739.014356042345,1139.3493440903935,1281.259021948702,1079.0306611780925,292.21598394872774,616.2008973889352,578.9081897865686,692.7712559776165
2013,671.0826249333301,762.0640767598105,898.1317765862075,822.0567082567849,785.8716431019504,838.0669093667381,755.811029699526,622.6622873877182,617.8050570287888,706.2898558708691,418.8915044863021,574.909885616073,434.9601970782504,615.2699886669884,532.0161687121481,636.6074365187008,330.5645116559167,1369.588958338174,961.3041928678824,733.7383417500212,1218.791451599074,1388.2613390465988,989.3943828853701,203.12978413261825,604.245357189302,582.5860243722669,645.0580941117857
2014,599.4841355344083,731.080597880839,860.6569506647821,762.0670065176113,771.6651676270317,811.0274744757298,569.8489392938413,629.9827692489382,569.5160067180708,661.1757692758226,334.5242516008916,610.3201507374656,345.61831636793954,594.3877946170312,451.7019279451361,580.7530809103911,293.4886252350962,1304.9940245028156,896.0568797802034,743.10163917323,1106.811213257346,1125.3201528949157,925.1890592829478,173.28375189420993,551.7796145011382,526.629192014242,609.9791302123051
