Ετος,Χώρες_ΕΕ_27,Χώρες_ζώνης_ευρώ,Αυστρία,Γαλλία,Γερμανία,Ισπανία,Ιταλία,Κύπρος,Ολλανδία,Χώρες_EE_εκτός_ζώνης_ευρώ,Βουλγαρία,Πολωνία,Τσεχία,Λοιπές_Χώρες,Αίγυπτος,Ηνωμένο_Βασίλειο,ΗΠΑ,Ρωσία,Τουρκία,ΣΥΝΟΛΟ,Μεμονωμένοι_ταξιδιώτες,Οργανωμένα_ταξίδια
2005,556.2480905758974,657.3707983101727,517.3538097987639,786.1304019812048,747.8339225311612,758.3028594570975,584.2956487612773,570.9532401609274,664.0681806316888,351.70681639601884,193.4067355714455,577.8992765091567,584.4140587233863,680.3504512397606,768.2243020256716,1070.0464057345334,1499.2150787885976,1256.72887284531,389.4924512128256,672.5683575246559,657.332675440019,777.4830035719257
2006,606.2250239455168,723.7193831484963,532.4190242069843,922.0400140866212,796.4203437405654,820.3327697943082,721.7339698870461,493.35956491559716,721.1537520502387,361.5285435893862,187.42141790832108,603.4355129194694,597.390258884353,703.9933126018531,739.4967158622524,1054.76087186298,1425.652877816692,1157.0462733355168,373.1472729785176,718.0929649081725,700.3258213549285,862.2639723290677
2007,606.684220777113,695.0504276655867,566.4957643562295,803.8974336916021,766.8629376450409,833.88916911452,642.0271404179201,525.5838085411932,790.7087728583422,406.5570577529589,208.1344546928742,589.4173917956831,590.335426544365,603.4272643363264,709.6767293721639,1070.6325394561704,1491.253596102289,1210.1509489182556,417.2171893750877,706.3406790405377,683.3398238011107,900.1230322784539
2008,630.1477550224043,734.1531302515524,593.8454662465048,910.3731850342758,782.0045340320944,898.991383915323,696.9346023682727,564.235708285279,815.8144376555782,391.63645045971236,197.87105588249355,730.3070287146202,648.942481371896,671.6677369330358,812.802461527307,996.5788052479528,1860.1717671078893,1210.6622329507202,404.4741091624165,711.6313195822125,684.3865970572774,924.2615351947295
2009,590.1575039900954,676.5739144467642,592.6889940828403,806.3829304762611,727.8283700618077,722.1192261803307,676.024414059873,486.75348919149934,721.7886438570272,391.7023211602545,195.50482592774773,758.8348001081308,618.648917184336,559.9613574447843,690.7667488278137,916.125125502008,1523.6316049810182,1061.8640706252268,312.3875673591622,632.245582853665,598.9316251907322,955.0654433069236
2010,509.5842198290768,595.806378748807,494.0318499764675,663.3762299765779,703.3349589503481,640.8899228496922,565.5910643157889,421.9627203223611,650.63616772811,321.71735490655806,136.44839774985306,611.8838618460917,524.5199407083788,505.04481741069776,629.49650266946,826.3452431381024,1373.6896116536007,885.8077040040547,258.4039481543854,567.4687389784185,532.0007463147505,799.8870554571305
2011,461.42664670435556,581.0139613439434,513.0296231498653,668.6145047551994,699.5812102920061,604.2295472972442,537.3107903015705,424.6361369155876,546.6278410995642,252.23386726657324,114.62236241846904,420.100873450128,562.5969156015633,357.45548753502186,643.9194740912607,834.9816833842128,1222.9368191492708,809.9288274550963,237.1381244942608,458.67382107646773,424.8660452683042,762.6884006787147
2012,439.7200275437524,541.7722453909677,512.128270404564,563.0486762650963,629.6160701648326,529.6543232185036,537.5337847990244,412.70359051224904,585.8310667757731,231.75110920644698,124.66695923312245,473.3138078424085,474.9067481269171,300.91089001025296,380.8029401107718,718.7891926333815,1062.1692786903566,741.4430488060834,170.6613231862189,393.8719417646078,368.35395471057586,750.3344153882016
2013,445.3628513851334,569.529347910031,437.1053109442586,678.0900135006884,621.0160476049061,626.5625038010096,580.8490878671339,454.6675777331996,587.8774029434923,232.92793521467303,108.92843778708911,692.7015936887807,510.8334612863964,298.26754988448465,543.992230854606,820.2395392736862,1357.69496722466,767.534608328237,190.62470999450517,399.45405375450554,371.5749627014575,768.0959015472325
2014,404.0400739609501,522.4724349182378,471.0574417298512,621.1468778635947,563.4133948452817,573.4705775653268,478.91384223360825,453.0797279008901,513.0385888995897,233.40131702204621,106.89800192373791,482.7237689156425,544.2090098668549,271.54529475730595,411.43192306200797,771.0044227059287,1032.1941811874162,608.9414831302718,141.18580553742788,357.8573125636775,337.11903499717897,667.976359242508
