Ετος,Χώρες_ΕΕ_27,Χώρες_ζώνης_ευρώ,Αυστρία,Βέλγιο,Γαλλία,Γερμανία,Ισπανία,Ιταλία,Κύπρος,Ολλανδία,Χώρες_EE_εκτός_ζώνης_ευρώ,Δανία,Ρουμανία,Σουηδία,Τσεχία,Λοιπές_Χώρες,Αλβανία,Αυστραλία,Ελβετία,Ηνωμένο_Βασίλειο,ΗΠΑ,Καναδάς,Ρωσία,Κρουαζιέρες,ΣΥΝΟΛΟ,Μεμονωμένοι_ταξιδιώτες,Οργανωμένα_ταξίδια
2005,64.2,65.0,69.7,75.7,79.9,57.3,99.9,75.0,55.1,66.8,59.5,71.7,60.5,58.9,50.3,81.2,77.4,76.9,74.6,80.7,101.8,73.0,98.6,:,69.9,63.2,91.7
2006,63.9,65.3,64.5,77.1,75.9,60.1,98.9,70.6,53.3,69.1,56.6,73.8,59.5,56.2,51.4,82.4,79.1,85.5,63.9,81.6,102.7,80.1,95.6,:,70.0,63.1,93.3
2007,63.9,65.1,56.6,80.7,74.2,59.2,70.6,76.0,57.0,63.5,58.0,73.6,63.1,54.7,55.2,81.4,106.6,91.4,75.8,85.7,94.1,75.3,94.9,:,70.2,61.4,94.6
2008,70.6,72.1,69.4,92.5,84.8,62.4,68.9,80.5,66.9,75.1,63.5,73.6,66.3,58.7,66.4,85.7,151.9,96.7,83.2,81.2,92.9,93.6,114.1,:,76.3,67.3,98.1
2009,68.7,69.8,72.8,89.6,79.1,64.5,73.1,75.1,55.3,70.7,63.5,74.5,70.8,64.6,60.4,81.7,144.9,102.9,80.1,77.7,92.0,94.1,94.6,:,73.5,64.5,97.1
2010,64.4,66.8,78.5,78.2,69.8,66.5,83.5,66.8,57.7,60.1,54.4,64.0,52.8,57.5,54.9,75.0,100.9,109.3,86.9,66.7,95.6,94.0,103.1,:,68.6,62.0,87.2
2011,65.0,67.5,76.6,78.6,73.0,64.0,102.8,68.3,57.4,65.5,54.1,69.8,36.1,59.8,53.6,76.5,71.1,111.5,94.5,68.5,91.8,101.3,94.2,:,69.6,62.8,88.4
2012,65.0,66.6,82.2,80.1,78.9,61.3,93.1,68.6,51.4,60.9,57.6,69.2,54.1,67.8,53.7,79.1,70.9,125.0,94.9,71.5,91.3,86.6,99.3,278.8,73.3,63.4,100.3
2013,66.9,68.8,87.7,85.5,79.3,65.6,73.8,66.3,49.6,63.3,58.9,64.6,58.6,65.3,56.7,80.3,73.9,106.8,92.9,72.8,100.0,95.1,93.5,166.9,74.6,65.5,97.8
2014,65.1,69.2,85.4,83.2,77.9,65.8,71.9,68.7,51.3,63.4,51.6,72.7,48.3,63.7,53.7,77.0,77.8,103.0,93.8,75.9,96.1,81.9,88.2,181.4,71.6,63.9,94.6
2015,67.7,73.1,95.3,81.2,82.9,71.6,86.8,69.6,49.9,65.2,51.2,66.9,43.3,69.1,56.7,82.9,76.7,115.9,96.7,84.9,110.2,93.7,77.1,149.6,75.1,68.3,97.2
2016,62.7,65.9,76.9,73.8,76.8,64.5,69.2,62.3,48.7,64.7,53.4,66.9,57.2,63.7,52.9,73.3,57.2,86.9,87.0,73.1,89.0,75.2,72.1,151.6,68.3,61.4,89.7
2017,63.7,68.4,73.3,72.6,81.0,67.8,60.6,62.6,50.0,75.1,49.5,57.3,49.4,62.6,47.4,73.3,58.7,95.2,86.2,77.8,85.2,72.8,71.0,116.8,68.5,62.4,84.0
2018,65.5,68.8,79.9,75.2,69.4,69.5,65.1,67.3,66.0,67.5,55.9,67.6,52.9,68.0,57.0,74.4,68.9,84.3,85.1,75.3,89.1,75.1,66.0,116.5,69.7,63.8,85.7
2019,73.3,79.2,89.9,88.3,84.2,79.3,83.4,80.0,64.3,70.5,56.8,74.5,54.4,70.3,57.6,79.7,64.1,80.9,95.3,84.5,95.4,84.7,71.2,122.2,76.9,67.6,101.7
2020,65.6,66.6,77.8,62.2,80.2,66.0,66.9,63.0,53.1,64.8,60.8,74.3,64.1,45.1,58.5,70.9,61.7,47.8,84.7,72.4,61.7,51.0,59.9,74.3,67.3,62.0,88.4
2021,75.8,77.5,90.6,93.6,87.9,76.1,84.1,74.5,53.4,70.5,69.2,86.8,65.9,69.7,65.5,84.7,56.8,38.5,90.9,90.9,106.0,89.7,85.1,73.3,78.5,70.4,106.9
2022,74.7,76.7,90.4,76.9,86.3,74.6,65.9,84.6,59.5,72.1,67.4,69.5,64.6,73.6,71.7,87.4,68.7,110.4,93.5,83.5,98.7,100.2,104.8,128.3,80.3,80.8,78.5
