Ετος,Χώρες_ΕΕ_27,Χώρες_ζώνης_ευρώ,Αυστρία,Γαλλία,Γερμανία,Ισπανία,Ιταλία,Κύπρος,Ολλανδία,Χώρες_EE_εκτός_ζώνης_ευρώ,Βουλγαρία,Πολωνία,Τσεχία,Λοιπές_Χώρες,Αίγυπτος,Ηνωμένο_Βασίλειο,ΗΠΑ,Ρωσία,Τουρκία,ΣΥΝΟΛΟ,Μεμονωμένοι_ταξιδιώτες,Οργανωμένα_ταξίδια
2005,83.4,86.3,108.3,113.4,80.0,100.5,96.9,47.7,122.8,73.7,63.7,77.2,109.6,61.4,57.0,57.3,61.4,80.8,80.1,71.7,65.6,155.3
2006,85.8,88.8,137.8,129.7,88.1,120.5,75.7,41.2,121.8,75.3,58.4,68.3,150.7,61.9,70.3,62.9,61.0,67.9,67.6,73.9,68.4,159.5
2007,86.9,88.7,123.7,126.3,86.9,99.6,99.2,38.1,91.4,80.7,75.9,63.6,137.7,69.0,81.1,72.3,81.8,76.3,69.5,78.1,72.5,152.6
2008,84.8,88.7,128.0,111.5,89.7,94.7,92.2,46.0,108.1,71.2,72.7,66.2,98.7,65.8,101.4,71.3,104.6,81.5,78.9,74.7,68.3,163.2
2009,79.2,81.8,136.1,90.8,85.2,103.7,86.9,41.4,92.9,70.4,66.0,64.9,89.4,61.8,45.0,59.1,74.9,75.6,69.5,69.7,63.8,160.7
2010,77.0,79.9,112.9,103.8,90.4,92.2,84.3,38.4,90.0,67.1,65.6,73.3,74.1,62.0,93.3,66.6,77.6,54.8,64.3,68.8,61.4,144.5
2011,74.0,76.0,157.7,90.7,95.8,64.0,93.7,29.0,90.9,67.1,56.2,45.3,126.4,61.6,51.8,66.5,72.2,55.4,57.9,67.8,61.2,148.3
2012,56.9,56.5,96.3,72.9,66.3,51.0,74.0,25.0,69.4,58.9,48.6,51.0,117.1,45.8,26.4,45.7,52.6,42.7,45.1,51.2,46.8,139.6
2013,58.4,59.6,87.2,76.5,57.1,56.4,89.6,29.8,55.7,54.0,48.1,67.2,51.0,45.7,26.1,43.0,54.9,41.0,41.6,51.7,47.2,133.4
2014,57.2,56.4,122.8,82.9,61.6,62.6,66.9,23.8,48.6,60.1,50.7,56.9,74.2,43.7,28.8,42.2,43.4,30.6,37.3,49.7,46.3,111.2
2015,56.1,55.2,100.3,70.9,56.9,58.1,58.6,27.6,50.1,58.8,50.2,55.8,78.7,45.4,46.4,43.1,43.1,38.2,40.3,50.3,47.0,99.0
2016,53.4,53.1,107.0,51.3,52.2,65.2,59.2,26.6,63.9,54.3,53.9,37.2,120.2,44.4,29.1,43.4,51.9,36.1,38.2,48.8,45.3,98.9
2017,48.4,47.8,86.8,52.4,45.0,39.9,66.3,26.7,52.5,50.4,52.6,30.6,65.3,41.9,28.8,44.0,44.0,51.8,45.9,45.1,41.0,95.5
2018,51.2,50.5,88.2,57.4,41.1,67.4,84.7,28.7,54.3,53.3,54.5,32.1,65.2,46.0,45.0,42.8,50.6,43.1,56.0,48.8,43.6,107.2
2019,63.9,65.5,121.2,82.4,54.9,79.6,90.0,36.9,50.5,58.9,55.1,57.5,76.8,58.1,47.2,63.3,61.1,47.9,61.2,61.1,51.7,146.9
2020,43.7,44.2,90.4,50.7,38.6,53.7,63.4,32.3,37.7,42.3,44.5,28.4,49.3,41.0,27.2,49.5,44.0,25.7,51.0,42.7,39.2,122.6
2021,49.8,52.6,91.6,77.8,45.1,60.9,85.5,32.8,41.8,39.9,27.8,39.6,42.9,41.9,27.9,47.3,41.7,43.2,52.7,46.4,41.1,157.2
2022,55.9,56.2,73.0,91.8,48.7,68.7,87.6,31.1,48.5,54.7,49.8,43.1,37.2,51.1,33.6,55.1,54.9,22.6,80.5,53.8,49.6,91.1
